 SGD: sgd_prediction called. Using Biases, K=12, L=0.083, L2=0.04, lr_factor=3.0
      SGD: There are 1029833 nonzero indices in total.
      SGD: global mean is 3.8576341989429355
      SGD : step        1  ( 0% done). fit = 4.0091, test_fit=4.0070, learning_rate=0.09000
      SGD : step   600001  ( 1% done). fit = 1.0333, test_fit=1.0445, learning_rate=0.09000
      SGD : step  1200001  ( 2% done). fit = 1.0283, test_fit=1.0417, learning_rate=0.09000
      SGD : step  1800001  ( 3% done). fit = 1.0281, test_fit=1.0428, learning_rate=0.09000
      SGD : step  2400001  ( 4% done). fit = 1.0256, test_fit=1.0426, learning_rate=0.09000
      SGD : step  3000001  ( 5% done). fit = 1.0235, test_fit=1.0410, learning_rate=0.09000
      SGD : step  3600001  ( 6% done). fit = 1.0162, test_fit=1.0378, learning_rate=0.09000
      SGD : step  4200001  ( 7% done). fit = 1.0141, test_fit=1.0400, learning_rate=0.09000
      SGD : step  4800001  ( 8% done). fit = 1.0070, test_fit=1.0375, learning_rate=0.09000
      SGD : step  5400001  ( 9% done). fit = 1.0020, test_fit=1.0366, learning_rate=0.09000
      SGD : step  6000001  (10% done). fit = 0.9988, test_fit=1.0380, learning_rate=0.09000
      SGD : step  6600001  (11% done). fit = 0.9983, test_fit=1.0394, learning_rate=0.09000
      SGD : step  7200001  (12% done). fit = 0.9938, test_fit=1.0370, learning_rate=0.09000
      SGD : step  7800001  (13% done). fit = 0.9944, test_fit=1.0370, learning_rate=0.09000
      SGD : step  8400001  (14% done). fit = 0.9944, test_fit=1.0383, learning_rate=0.09000
      SGD : step  9000001  (15% done). fit = 0.9938, test_fit=1.0392, learning_rate=0.09000
      SGD : step  9600001  (16% done). fit = 0.9924, test_fit=1.0407, learning_rate=0.09000
      SGD : step 10200001  (17% done). fit = 0.9934, test_fit=1.0378, learning_rate=0.09000
      SGD : step 10800001  (18% done). fit = 0.9921, test_fit=1.0397, learning_rate=0.09000
      SGD : step 11400001  (19% done). fit = 0.9917, test_fit=1.0400, learning_rate=0.09000
      SGD : step 12000001  (20% done). fit = 0.9921, test_fit=1.0396, learning_rate=0.09000
      SGD : step 12600001  (21% done). fit = 0.9942, test_fit=1.0426, learning_rate=0.09000
      SGD : step 13200001  (22% done). fit = 0.9910, test_fit=1.0378, learning_rate=0.09000
      SGD : step 13800001  (23% done). fit = 0.9907, test_fit=1.0386, learning_rate=0.09000
      SGD : step 14400001  (24% done). fit = 0.9899, test_fit=1.0367, learning_rate=0.09000
      SGD : step 15000001  (25% done). fit = 0.9879, test_fit=1.0389, learning_rate=0.09000
      SGD : step 15600001  (26% done). fit = 0.9900, test_fit=1.0400, learning_rate=0.09000
      SGD : step 16200001  (27% done). fit = 0.9892, test_fit=1.0393, learning_rate=0.09000
      SGD : step 16800001  (28% done). fit = 0.9900, test_fit=1.0395, learning_rate=0.09000
      SGD : step 17400001  (29% done). fit = 0.9893, test_fit=1.0379, learning_rate=0.09000
      SGD : step 18000001  (30% done). fit = 0.9901, test_fit=1.0403, learning_rate=0.09000
      SGD : step 18600001  (31% done). fit = 0.9900, test_fit=1.0389, learning_rate=0.09000
      SGD : step 19200001  (32% done). fit = 0.9888, test_fit=1.0381, learning_rate=0.09000
      SGD : step 19800001  (33% done). fit = 0.9896, test_fit=1.0390, learning_rate=0.09000
      SGD : step 20400001  (34% done). fit = 0.9544, test_fit=1.0061, learning_rate=0.03000
      SGD : step 21000001  (35% done). fit = 0.9488, test_fit=1.0035, learning_rate=0.03000
      SGD : step 21600001  (36% done). fit = 0.9461, test_fit=1.0015, learning_rate=0.03000
      SGD : step 22200001  (37% done). fit = 0.9448, test_fit=1.0013, learning_rate=0.03000
      SGD : step 22800001  (38% done). fit = 0.9437, test_fit=1.0026, learning_rate=0.03000
      SGD : step 23400001  (39% done). fit = 0.9407, test_fit=1.0002, learning_rate=0.03000
      SGD : step 24000001  (40% done). fit = 0.9413, test_fit=1.0012, learning_rate=0.03000
      SGD : step 24600001  (41% done). fit = 0.9411, test_fit=1.0017, learning_rate=0.03000
      SGD : step 25200001  (42% done). fit = 0.9409, test_fit=1.0012, learning_rate=0.03000
      SGD : step 25800001  (43% done). fit = 0.9401, test_fit=1.0013, learning_rate=0.03000
      SGD : step 26400001  (44% done). fit = 0.9393, test_fit=1.0018, learning_rate=0.03000
